tpep_pickup_datetime,region,counts
2016-04-14 08:00:00,1231,981
2016-04-14 09:00:00,1231,1000
2016-04-14 10:00:00,1231,894
2016-04-14 11:00:00,1231,1065
2016-04-14 12:00:00,1231,1084
2016-04-14 13:00:00,1231,1067
2016-04-14 14:00:00,1231,1126
2016-04-14 15:00:00,1231,931
2016-04-14 16:00:00,1231,618
2016-04-14 17:00:00,1231,666
2016-04-14 18:00:00,1231,816
2016-04-14 19:00:00,1231,828
2016-04-14 20:00:00,1231,968
2016-04-14 21:00:00,1231,948
2016-04-14 22:00:00,1231,880
2016-04-14 23:00:00,1231,924
2016-04-15 00:00:00,1231,722
2016-04-15 01:00:00,1231,403
2016-04-15 02:00:00,1231,243
2016-04-15 03:00:00,1231,173
2016-04-15 04:00:00,1231,137
2016-04-15 05:00:00,1231,153
2016-04-15 06:00:00,1231,344
2016-04-15 07:00:00,1231,548
2016-04-15 08:00:00,1231,828
2016-04-15 09:00:00,1231,923
2016-04-15 10:00:00,1231,880
2016-04-15 11:00:00,1231,981
2016-04-15 12:00:00,1231,982
2016-04-15 13:00:00,1231,984
2016-04-15 14:00:00,1231,966
2016-04-15 15:00:00,1231,828
2016-04-15 16:00:00,1231,588
2016-04-15 17:00:00,1231,636
2016-04-15 18:00:00,1231,906
2016-04-15 19:00:00,1231,916
2016-04-15 20:00:00,1231,1148
2016-04-15 21:00:00,1231,1136
2016-04-15 22:00:00,1231,1081
2016-04-15 23:00:00,1231,847
2016-04-16 00:00:00,1231,860
2016-04-16 01:00:00,1231,696
2016-04-16 02:00:00,1231,498
2016-04-16 03:00:00,1231,395
2016-04-16 04:00:00,1231,300
2016-04-16 05:00:00,1231,162
2016-04-16 06:00:00,1231,207
2016-04-16 07:00:00,1231,236
2016-04-16 08:00:00,1231,460
2016-04-16 09:00:00,1231,610
2016-04-16 10:00:00,1231,668
2016-04-16 11:00:00,1231,877
2016-04-16 12:00:00,1231,951
2016-04-16 13:00:00,1231,901
2016-04-16 14:00:00,1231,863
2016-04-16 15:00:00,1231,892
2016-04-16 16:00:00,1231,757
2016-04-16 17:00:00,1231,828
2016-04-16 18:00:00,1231,1067
