tpep_pickup_datetime,counts
2016-06-19 07:00:00,163
2016-06-19 08:00:00,230
2016-06-19 09:00:00,362
2016-06-19 10:00:00,505
2016-06-19 11:00:00,633
2016-06-19 12:00:00,749
2016-06-19 13:00:00,705
2016-06-19 14:00:00,685
2016-06-19 15:00:00,685
2016-06-19 16:00:00,721
2016-06-19 17:00:00,804
2016-06-19 18:00:00,861
2016-06-19 19:00:00,808
2016-06-19 20:00:00,733
2016-06-19 21:00:00,957
2016-06-19 22:00:00,615
2016-06-19 23:00:00,570
2016-06-20 00:00:00,395
2016-06-20 01:00:00,159
2016-06-20 02:00:00,103
2016-06-20 03:00:00,79
2016-06-20 04:00:00,80
2016-06-20 05:00:00,113
2016-06-20 06:00:00,309
2016-06-20 07:00:00,514
2016-06-20 08:00:00,752
2016-06-20 09:00:00,832
2016-06-20 10:00:00,779
2016-06-20 11:00:00,838
2016-06-20 12:00:00,1000
2016-06-20 13:00:00,929
2016-06-20 14:00:00,993
2016-06-20 15:00:00,904
2016-06-20 16:00:00,846
2016-06-20 17:00:00,988
2016-06-20 18:00:00,1128
2016-06-20 19:00:00,1197
2016-06-20 20:00:00,1079
2016-06-20 21:00:00,1081
2016-06-20 22:00:00,928
2016-06-20 23:00:00,770
2016-06-21 00:00:00,629
2016-06-21 01:00:00,255
2016-06-21 02:00:00,143
2016-06-21 03:00:00,83
2016-06-21 04:00:00,89
2016-06-21 05:00:00,102
2016-06-21 06:00:00,375
2016-06-21 07:00:00,575
2016-06-21 08:00:00,744
2016-06-21 09:00:00,917
2016-06-21 10:00:00,971
2016-06-21 11:00:00,1030
2016-06-21 12:00:00,1032
2016-06-21 13:00:00,1069
2016-06-21 14:00:00,1089
2016-06-21 15:00:00,976
2016-06-21 16:00:00,679
2016-06-21 17:00:00,774
2016-06-21 18:00:00,1093
2016-06-21 19:00:00,1299
2016-06-21 20:00:00,1161
2016-06-21 21:00:00,1109
2016-06-21 22:00:00,1006
2016-06-21 23:00:00,1029
2016-06-22 00:00:00,512
2016-06-22 01:00:00,307
2016-06-22 02:00:00,163
2016-06-22 03:00:00,91
2016-06-22 04:00:00,90
2016-06-22 05:00:00,121
2016-06-22 06:00:00,317
2016-06-22 07:00:00,574
2016-06-22 08:00:00,813
2016-06-22 09:00:00,946
2016-06-22 10:00:00,904
2016-06-22 11:00:00,1049
2016-06-22 12:00:00,1126
2016-06-22 13:00:00,1139
2016-06-22 14:00:00,1082
2016-06-22 15:00:00,918
2016-06-22 16:00:00,681
2016-06-22 17:00:00,664
2016-06-22 18:00:00,701
2016-06-22 19:00:00,871
2016-06-22 20:00:00,790
2016-06-22 21:00:00,1043
2016-06-22 22:00:00,985
2016-06-22 23:00:00,891
2016-06-23 00:00:00,651
2016-06-23 01:00:00,322
2016-06-23 02:00:00,165
2016-06-23 03:00:00,124
